                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.97963,                 0.6811,                   1.13,                 0.8325,                 0.8277,                0.88611,                0.60012,                  1.182,                0.77653,                 1.2065,              0.0008318,              0.0008318,              0.0008318
                     61,                0.96261,                0.64442,                 1.1165,                0.84121,                0.87162,                0.91179,                0.61686,                 1.2153,                 0.7446,                 1.2191,               0.000812,               0.000812,               0.000812
                     62,                0.96452,                 0.6522,                 1.1216,                0.82518,                0.86113,                0.90323,                0.61161,                 1.1865,                0.73442,                 1.2082,              0.0007922,              0.0007922,              0.0007922
                     63,                 0.9731,                0.66264,                  1.127,                0.83124,                0.85473,                0.90457,                0.61464,                 1.1968,                0.73428,                 1.2232,              0.0007724,              0.0007724,              0.0007724
                     64,                0.98509,                0.67913,                 1.1286,                0.81919,                0.87244,                0.91252,                0.61982,                 1.1892,                0.69808,                  1.211,              0.0007526,              0.0007526,              0.0007526
                     65,                0.95104,                0.65187,                 1.1309,                0.82924,                0.86486,                0.90199,                0.60553,                 1.1954,                0.74937,                 1.2061,              0.0007328,              0.0007328,              0.0007328
                     66,                0.96201,                0.64218,                 1.1149,                0.83335,                0.84467,                0.91202,                0.61047,                 1.1943,                0.76991,                 1.2052,               0.000713,               0.000713,               0.000713
                     67,                0.93959,                0.64107,                 1.1008,                0.84935,                0.82432,                0.90211,                0.61767,                  1.172,                 0.7632,                 1.1888,              0.0006932,              0.0006932,              0.0006932
                     68,                0.93534,                0.64464,                 1.1138,                0.84192,                0.82432,                0.89941,                0.61142,                 1.1933,                0.76959,                 1.2142,              0.0006734,              0.0006734,              0.0006734
                     69,                0.93056,                0.62854,                 1.1096,                0.81856,                0.83828,                0.90047,                0.61221,                 1.1757,                 0.7959,                 1.1956,              0.0006536,              0.0006536,              0.0006536
